Area,Bedrooms,Bathrooms,YearBuilt,City,Garage,HousePrice
3786,1,5,1800,Pune,Unknown,856407
3857,2,4,3025,???,no,925375
3482,2,5,,unknown,YES,926583
3450,2,5,,???,Yes,"$869,316"
1482,2,2,,Mumbai, ,381672
2872 sqft,5,2,1964, pune ,Unknown,800757
1769,5,1,1975, pune ,no,586691
2422,,4,1800,Nagpur,Yes,740234
761,3,1,1800,Kolhapur, ,337366
3036,3,1,3025,Pune, ,762430
3915,3,1,1800,Kolhapur,no,902639
3623,6,3,,Pune,Unknown,1062213
2070,5,2,,Nagpur,Unknown,641021
1165,3,3,1958,???,YES,414189
3995,5,4,1980,Nagpur,no,1057680
3192,6,1,3025,Mumbai,no,945605
2436,1,1,1974, pune ,no,473275
1111,2,1,3025,Kolhapur,No,377676
3439,4,2,1800,Nashik,No,916825
2170,2,4,3025, pune ,Yes,602587
3785,1,3,3025, pune ,no,811844
2311,6,5,, pune , ,820105
414,6,1,3025,???, ,374274
1098 sqft,,1,3025,unknown,No,"$492,146"
3179 sqft,2,5,1800,Kolhapur, ,796092
"1,122",1,1,2020,Pune,Yes,322860
3433,1,1,,Kolhapur,YES,738119
-3115,5,1,3025,???,Yes,799320
2324,5,4,3025,Nagpur,No,829795
-3618,2,2,1800,Kolhapur,Yes,815554
3111,2,2,1800,Pune, ,702887
2634,2,5,1800,Mumbai,YES,722632
1208 sqft,1,1,3025,Pune,Yes,342163
939 sqft,4,1,1800,Mumbai,no,428631
3727,3,4,,Kolhapur, ,963553
1659,4,1,1800,Nagpur,Yes,554239
2889,6,4,1800,Mumbai,Unknown,916258
"1,458",1,3,1987,Nagpur,Unknown,390727
1906,2,2,3025,???,Unknown,468786
1220,2,4,1955,Mumbai,No,452618
1868,5,4,1966,Mumbai,Unknown,660000
3078,4,1,1800,Nashik, ,"$747,880"
3467,2,5,, pune ,no,"$862,097"
3861,4,1,,Nashik,Yes,886860
426,4,4,3025,Nagpur,no,407092
2031,3,5,1800,Nagpur,No,683673
2074,4,2,3025, pune ,Yes,585220
2378,1,4,1981,unknown, ,551107
-1482,4,2,,Pune,No,538608
2853,1,3,1978,Kolhapur,No,"$607,340"
3852,2,1,,Nagpur,Yes,846032
2811,2,4,1800,Pune,No,754337
2176,2,5,3025,Nashik,YES,630862
3369 sqft,4,4,, pune ,No,949722
-768,3,4,,Pune,YES,451675
-2361,1,1,1989,unknown,Yes,"$519,909"
2719,3,1,1800,Nagpur,no,632542
3081,5,1,3025,unknown,YES,814301
-688,1,4,1960,Nagpur,no,319264
808,4,5,1970,Nashik,YES,461865
2121,4,3,2010,Pune,No,"$681,177"
1776,6,1,2007,Kolhapur,Yes,"$618,892"
1579,3,3,1800,???,YES,561631
3117,2,3,3025,unknown,no,797665
3621,5,2,1967,Kolhapur,no,988730
3785 sqft,6,3,3025, pune ,No,1104646
1479,4,2,3025,???,YES,534850
2741,6,2,,unknown, ,885687
1151 sqft,1,4,1800,???,YES,"$347,894"
3692,4,4,2002,Mumbai,No,955762
3044,2,1,3025, pune ,No,643806
899,2,5,1955,unknown,YES,404518
2166,3,5,2024,Pune,No,687387
1178 sqft,4,5,3025, pune , ,"$586,911"
3338,6,4,3025,???,Yes,1035196
2666,,2,2014,Nagpur, ,811316
1835,5,4,1974,Pune, ,"$726,013"
3945,6,2,2012,unknown,YES,1099279
3923,4,2,1800,Pune,Unknown,985863
3496 sqft,4,3,1800,Pune,Unknown,932338
2695,,2,3025,Nashik,No,"$744,606"
3029,1,3,3025,Nashik, ,689346
"-3,322",6,1,,Pune,no,886711
3245,2,4,3025,unknown,Unknown,812485
433,5,1,1951,Kolhapur,no,356095
2544,6,2,1977,unknown,no,839768
3347,5,3,, pune ,no,922128
"2,689",2,2,1800,unknown,Unknown,632565
1861,4,1,3025,???,Yes,519873
2853,2,5,1800,Mumbai, ,746377
3645,5,2,,Nagpur,Unknown,1010829
3043,1,5,, pune ,Unknown,779480
1705,4,5,1964,Nagpur,Unknown,633358
2676,5,4,, pune ,YES,897073
2301,1,3,,Nashik,no,599864
1183,4,5,1992,Nashik,No,
2511 sqft,,5,3025, pune ,YES,765286
1850,2,3,1800,Nagpur,Unknown,564300
3205,3,2,,Pune,no,769785
1632,5,1,3025,???,No,573006
1254,4,2,1800,Nagpur,no,497780
728,2,1,3025,???,No,272037
2735,3,1,,Nashik, ,639377
1316,3,3,3025,Pune,no,468814
3463,2,1,1800,???,no,760197
2724,4,1,1800,Nashik, ,679539
3946,2,3,3025, pune ,Yes,"$904,472"
1099 sqft,,2,3025,???,No,454893
3623,6,1,1800,???,No,1028796
-3534,,1,1976,Nashik,no,746426
1332,1,5,1800,unknown,no,450252
2056,5,2,3025,Nagpur,No,"$683,470"
2087,2,4,1800,Nashik,Unknown,589630
3901,5,5,1991,???,YES,1056396
1322,1,1,, pune ,No,"$316,899"
1151,4,1,3025,Nagpur,no,448066
2547,2,3,,unknown,Unknown,613808
1901,5,2,1991,Nashik,Yes,650043
2564,5,5,3025,Nashik, ,866447
"3,918",5,1,,Pune,YES,1022072
976,1,1,2025, pune ,Unknown,263111
3727,1,4,3025,unknown,Unknown,855457
453,6,5,,Kolhapur,no,576940
914,5,2,,Kolhapur,no,487312
2644,3,5,1800,Nagpur, ,758245
1299,3,1,,???, ,"$389,938"
2641,3,1,1800,Nagpur,Yes,607293
1549,4,4,1800,???,No,
1766,1,1,2003, pune ,Unknown,401811
1389,4,4,1800,???,Unknown,577957
-2464,3,5,3025,Kolhapur,no,721298
2582,1,5,3025,???,YES,656085
3092,6,4,,Kolhapur, ,982613
1143,5,5,1972,Nagpur,No,579571
951,6,5,2002,Mumbai,Unknown,"$588,673"
2549,6,1,,Mumbai,Yes,835110
-1513,5,1,2019,Mumbai,Unknown,
1107,4,2,3025,Pune,Unknown,"$459,303"
1564,2,1,3025,Nashik,YES,401807
"1,018",4,5,1800,Nashik,no,486250
732 sqft,5,1,,unknown,YES,410484
2662,6,4,3025,unknown,YES,868612
1899,3,1,3025, pune ,Yes,533339
3050,4,4,3025,Mumbai, ,867326
-3815,6,1,3025,Pune,Yes,1059266
2958,1,2,1800, pune , ,"$595,880"
3418,5,3,3025,Nashik, ,913156
3764,6,4,,???,No,1136081
3565,6,2,,Mumbai,YES,"$1,032,395"
998,,3,3025,unknown,Yes,417017
3343,,5,3025,Nagpur, ,"$876,575"
1372,6,5,1800,Pune,no,731584
3644,1,5,2005,Nagpur,No,846429
1921,1,3,1992,Pune,No,459894
3390,2,2,,Kolhapur,Yes,745502
3821 sqft,2,1,3025,Pune,YES,"$866,770"
3338,6,3,1800,Pune,Unknown,983953
1210,3,3,,???,Unknown,461966
3702,3,2,3025,Kolhapur,YES,857601
634,2,1,1800,Nagpur,YES,254654
1116,4,2,3025,Kolhapur,no,502548
3031,3,3,3025,???,no,814746
1663,3,5,3025,Nashik,no,622188
1580,5,1,3025,Nashik,Yes,561214
3307,1,2,2006,Mumbai, ,658181
3877,6,2,,???,Unknown,1013036
2047,5,2,,Kolhapur, ,
3717,1,5,1800,Nagpur,YES,
3376,1,3,1998,Kolhapur,Yes,698386
1731,1,2,1800,unknown,No,459426
2089,5,1,1992,unknown,No,608711
2979,1,2,1800,???,Yes,662488
794,2,5,1800,unknown,Unknown,"$375,661"
"1,799",4,5,3025,unknown,Unknown,625928
-2318,3,1,1800,Mumbai,Unknown,581758
3862,3,2,3025,unknown, ,877480
3302,4,1,,Pune,No,837169
2782,5,2,1986,Mumbai, ,827348
2213,5,4,3025,Kolhapur, ,813323
1403,3,3,2016,Nagpur,Yes,452544
3308,6,4,1800, pune ,No,1040711
3131 sqft,4,1,,???,YES,819747
2760,4,3,2025,Mumbai,Unknown,814045
3087,1,3,1970,Kolhapur, ,"$669,798"
3268,1,3,,Kolhapur,no,694023
2323 sqft,5,5,3025,Nagpur, ,819999
"3,294",6,4,3025,Nashik,Unknown,965929
-690,6,5,, pune ,No,555052
659,1,5,,unknown, ,"$292,978"
758,4,2,3025,unknown,Unknown,422496
2260 sqft,,4,1800,Kolhapur,Yes,776735
1686,1,4,,unknown,No,486497
1901,6,4,3025,Mumbai,no,"$797,743"
-2148,4,5,2014,Pune,YES,709439
3546,5,1,1964,unknown,No,926377
908,6,2,,Mumbai, ,516427
1957,4,3,3025,Nashik,Unknown,646003
2444,5,2,,unknown,no,754210
2973,2,1,1800,unknown,Unknown,617912
3877,1,2,2010,???,No,"$808,260"
1111,6,2,1800,Nashik,No,"$581,239"
815,3,5,1800,Kolhapur,YES,481819
648,,5,1800,Mumbai,YES,542322
1968,6,1,,Nagpur,YES,677195
1957,5,3,1800,Kolhapur,YES,647677
3840,5,5,3025,Nashik,no,1062511
3197,1,3,,???,Yes,698404
2301,6,1,3025,unknown,No,753261
1313,5,2,,Nashik,No,570278
641,2,4,,???,no,286255
2747,1,2,3025,Mumbai,Yes,574994
3772 sqft,4,3,1992,Nagpur,No,"$930,797"
2223,4,4,1800,unknown,No,692347
2675,3,1,1800,Kolhapur, ,620094
1299,4,3,1985, pune ,Yes,562749
426,1,2,,???,Unknown,159640
964,2,4,1983,???,no,407855
786,1,5,,Kolhapur,YES,326221
3991,,5,,???,No,1080092
820,2,3,3025,unknown,no,322904
2091,1,4,2016,Nagpur,Yes,589559
3446,1,5,, pune ,No,806862
582,1,4,2004, pune ,Yes,291625
431,2,4,1972,unknown, ,328291
"2,744",2,5,,???,no,785639
1331,4,4,3025,unknown,Yes,593639
-2487,1,5,1962,Kolhapur, ,681706
3015 sqft,2,5,,Pune,Yes,760403
-3600,1,3,3025,Pune,YES,760724
1651,5,3,1987,Pune,Unknown,591063
3702,1,5,,Pune, ,836085
2001,5,2,1993,Pune,YES,682328
3377,6,3,, pune ,Unknown,1013583
1104,2,3,,Pune, ,425700
1858,4,4,, pune , ,671777
3253 sqft,4,5,1958, pune ,no,905602
2646,4,1,1800,unknown, ,659734
1013,5,2,1983,Mumbai,YES,502304
2959,5,3,,Mumbai,Unknown,911072
1081,6,5,2013,???,No,654347
2619,5,2,1800,Mumbai,Yes,748003
540,3,5,1800,Kolhapur,YES,415191
2246,6,2,2002,Kolhapur,no,721314
1684,6,2,1800,Mumbai,No,625294
1638,1,5,1800,Mumbai, ,466526
-3746,4,3,1800,Pune, ,988594
952,3,2,1999,Kolhapur, ,339973
3595,1,4,,Nashik,no,775998
"3,676",6,4,3025,unknown,Yes,1064627
1645,2,2,3025,???,Yes,407128
862,2,2,,Pune,YES,269412
516 sqft,3,5,1997,unknown,Yes,"$344,926"
-2734,6,1,1959, pune , ,829802
3346,1,3,3025,Nashik,no,767794
2380 sqft,5,4,1800, pune ,no,790537
958,5,5,1800,Pune,Yes,595824
3577,1,3,3025, pune ,no,814880
2345,6,5,,Nashik,Unknown,872525
2195 sqft,3,1,, pune ,No,552400
1979,6,4,,unknown,Unknown,737871
648,2,3,,Kolhapur,YES,"$304,236"
999,5,5,,Mumbai,Yes,569406
1606,3,2,,unknown,Unknown,479979
2223,5,4,1800,Kolhapur,No,745360
2522,3,3,,Pune, ,689891
2226,3,2,1987,Pune, ,"$604,959"
1876,1,5,1989,Pune,Unknown,530094
816,4,2,2011,Nashik,Unknown,398568
1736,4,1,3025,Kolhapur,No,"$547,113"
3900,6,3,1979,Mumbai,YES,1085179
835,5,3,1800,Nagpur,no,475456
641,4,3,,Nashik,Yes,378773
3238,1,4,1976, pune ,No,723626
1080 sqft,6,5,1981,Nagpur,no,678556
1866,4,2,1800, pune ,Unknown,645616
1169,2,5,2024,Kolhapur,No,"$422,794"
414,5,3,1800,Kolhapur, ,434977
3907,4,1,,Nagpur, ,945862
2776,3,5,3025,Pune, ,785046
1112 sqft,2,4,3025,Pune,YES,467224
1651,1,4,1800,Nashik,No,515962
3716,5,3,,Mumbai, ,1015926
1782,1,2,3025,Kolhapur,No,466331
878,3,2,2014,Pune, ,384175
2934,6,4,1800,Nagpur,YES,994890
2109,1,3,,Nashik,Yes,528599
3719,3,1,1800,Kolhapur,YES,"$838,796"
2922,,4,,Kolhapur,No,935382
3493,5,3,,Nagpur,No,955653
3736 sqft,2,5,1800,Kolhapur,no,950091
3073,1,5,,unknown,No,780995
2407 sqft,1,5,1800,Pune,No,616453
1383,3,2,1988,Kolhapur,YES,470194
1633,,4,1800,Mumbai, ,544086
-2264,1,1,,Kolhapur,Yes,449743
2220,4,4,2016,Kolhapur,no,693760
3313,1,5,1979,???,no,830625
1959,3,4,2020,Nagpur,No,665068
3950,3,5,,Pune,YES,1000764
3439,5,1,2002,unknown,Yes,867541
1351 sqft,3,3,, pune ,No,526273
"3,154",1,4,2009, pune , ,727983
2028,1,5,1800,Nashik,Unknown,588232
2670,1,3,1800,Mumbai,YES,641855
1386,3,5,,Nagpur,no,538022
3952 sqft,2,2,,Nashik,YES,898014
1528,1,1,,Nagpur,Unknown,347011
1184 sqft,1,2,3025,Nagpur,Yes,309490
1006,1,3,1800,unknown,Unknown,288116
-877,1,1,1800,Pune,Unknown,262021
2371,,5,3025,Pune,no,883401
3316,2,5,1981,???,No,850778
3714,6,1,1800,Pune,no,968518
-814,3,4,1800,Pune,Yes,409889
3180,3,1,1972,Pune,Unknown,714632
1229,5,4,3025,Pune,No,585383
3608,5,3,1800, pune ,no,1009392
1486,4,5,3025,unknown,Unknown,618381
"2,089",3,1,1800, pune ,YES,533307
694,5,1,1971,???,no,
2782,4,5,2020,???,no,832182
3887,3,1,2000,Nashik, ,912334
2086,4,1,1800,Pune,No,577641
2723,2,4,1800,???,Unknown,703740
3277,5,2,1800, pune ,Yes,901521
2878,2,2,,unknown,YES,674205
3574,2,2,, pune ,YES,845069
2185,1,4,2023,unknown,YES,"$557,187"
715,3,5,1967,Kolhapur,No,470650
1292 sqft,1,2,1800,???,Yes,"$380,802"
2860,,1,3025,Pune,Unknown,715719
1628 sqft,3,1,1979,Kolhapur,YES,"$482,275"
2536,3,2,2016,Nashik,Yes,
2092,3,1,,Mumbai,No,550392
1988,3,2,,Mumbai,No,528231
"1,156",6,1,1800,unknown,YES,574547
2744 sqft,5,2,3025,Nagpur,Yes,809478
2841 sqft,5,2,3025,???,YES,796226
2072,6,3,1800,Kolhapur,no,806985
1735,6,3,3025,Kolhapur,Unknown,745947
431,4,1,1800, pune ,no,309703
769,5,3,3025,Mumbai,Yes,454122
1581 sqft,2,4,,Mumbai,no,467920
2099,1,5,,Kolhapur,YES,587491
974,2,3,3025,Nashik,Unknown,346689
1439,3,3,1800, pune ,No,468679
2747,3,1,,Nagpur, ,669160
"2,169",3,4,1968,Nashik,Yes,673188
3488,4,1,1800,Pune,Yes,812267
1798,6,5,1800,unknown,Yes,775490
3830,4,4,,???,No,1013213
2133,1,5,3025,Mumbai,Yes,606939
2287,3,1,1800,Kolhapur, ,614795
1145,4,5,3025,???,Unknown,"$523,798"
2650,6,4,1800,Nashik,no,942690
2132,6,2,1800,Kolhapur,Unknown,
705,5,1,,unknown,Yes,385024
2770,6,1,2019, pune ,YES,829256
"1,277",6,3,,???,YES,662085
3006,,1,3025,unknown,Unknown,607901
3870,3,1,3025,Mumbai,no,893972
891,5,2,2010,Nagpur,Unknown,489127
2002,3,1,,???,Yes,571974
464,5,2,1800,Pune,no,392711
3795,4,1,2000, pune , ,937633
3512,4,3,3025,unknown,Yes,925655
2325,4,2,1800,unknown,Yes,643622
-1005,6,1,3025,Pune,no,"$520,724"
1821,3,2,3025,unknown,No,491428
1511,,1,3025,unknown, ,430886
908,5,3,1989,unknown,no,468614
1330,1,5,3025, pune ,No,395754
3556,,3,3025, pune ,Unknown,877087
610,,4,3025,Nagpur, ,"$448,669"
3365,5,5,, pune ,YES,964107
730,5,4,3025, pune ,no,528723
2267,4,5,3025,Mumbai,no,728998
848,4,2,1800,Pune,Unknown,451311
958,4,3,3025,Mumbai,no,436660
1971,1,1,1957,Pune,Yes,
2561,5,5,3025,???,No,828232
2237 sqft,2,2,3025,Kolhapur, ,570090
2887,5,4,2013,Nashik,Yes,"$930,699"
3290,4,5,,Mumbai,Unknown,951699
3025 sqft,4,2,1800,Nashik, ,786898
3498,3,1,3025,Nagpur,YES,820063
1994 sqft,2,3,3025,???, ,503465
-1463,5,2,3025,unknown,No,549661
3916,3,5,1996,Kolhapur,Unknown,"$1,021,732"
1829,2,4,3025,Mumbai, ,576904
2969,3,1,1973,Nagpur,Unknown,746087
710,1,3,1956,Nagpur,Unknown,234818
1676,,4,,unknown,Yes,578252
-877,3,4,,Kolhapur,No,382333
-3208,4,2,3025,Pune,No,"$853,832"
2948,5,4,1977,Mumbai,Yes,920912
3874 sqft,6,3,,Nagpur,Yes,1054448
2792,4,4,,Nagpur,No,847684
3591,2,2,1986,unknown,YES,806192
2834,1,3,,unknown,YES,
-2788,4,1,,Nashik,No,685332
746,2,4,3025,???,Yes,313309
"2,493",,2,,Nagpur,no,766581
535,4,2,3025,unknown, ,379381
2740,6,1,3025,Pune,Unknown,818773
3791,4,4,,Pune,No,1027212
2555,1,4,1970,Pune, ,623785
412,6,5,1800,Mumbai,Yes,533682
3839,,4,2008,Mumbai,Unknown,1097852
2805,1,5,2016,Mumbai,no,748952
2431,4,2,1800,Nashik, ,702045
1105 sqft,,2,3025,Mumbai,YES,312152
1823,1,3,3025,Nagpur,No,473852
904,1,1,1964,Nashik, ,220333
2058,5,5,1800,Mumbai, ,773679
3725,5,5,, pune ,Unknown,1070123
2458 sqft,4,3,2006,Kolhapur,Unknown,772726
1133,,3,1973,Nashik,Unknown,364423
1137,6,1,1985,Kolhapur, ,580195
1920,5,5,3025,???,No,786029
2405,3,5,3025,unknown,Unknown,686376
540,1,1,1986,Kolhapur,no,144195
2050,1,3,1963,Nagpur,No,510251
2540,4,1,3025,Nashik,YES,706490
1209,2,5,1800,Nagpur,YES,472297
2682,5,2,, pune ,Yes,811493
-2141,1,4,3025,Nagpur,YES,528647
1604,4,4,1952,???,Yes,614865
1545,4,2,1977,Nagpur,no,553034
3898,4,1,3025,Pune,No,973091
525,3,1,2015,???, ,229962
-3204,5,2,3025,Mumbai, ,935435
3744,1,3,3025,???,No,"$813,994"
"3,694",1,5,1800,Nashik, ,821940
2268,1,5,1997, pune ,No,650755
886,4,3,1800,???,Yes,454588
"3,217",2,4,,Kolhapur,YES,770351
2615,6,4,, pune ,Unknown,876812
625 sqft,2,5,,Nashik, ,405831
1610,6,2,,Pune,No,639444
-1552,1,3,3025,???, ,387931
1157,5,1,1800,???,Unknown,508131
683,1,2,,Nashik,Yes,239426
921,2,1,1800,Pune,YES,260688
3092,6,5,3025, pune ,YES,989669
984,,1,1950, pune , ,402261
881,1,4,1800, pune , ,302416
3903,2,4,1979,Pune,no,"$878,060"
1544,3,4,2000,Nagpur,YES,539604
2137,2,4,1800,Kolhapur,YES,623265
1110,6,1,1963,Kolhapur,no,572626
567 sqft,2,3,1800,Mumbai,YES,281254
1457,2,5,3025,unknown,Unknown,483027
3844,1,2,, pune ,no,811648
2600,2,5,3025,Kolhapur,No,669988
888,6,4,2003,???,YES,571255
2086,6,4,,Kolhapur,Yes,833873
2309,6,2,1800, pune ,No,754861
2157 sqft,2,2,,Nashik,YES,564810
577,1,3,,unknown,no,276157
3795,6,1,1800,Mumbai,No,993931
"3,752",5,1,,Kolhapur,Yes,944940
867,5,4,1988, pune ,no,505426
3006,6,2,,Mumbai,Yes,853462
1856,6,3,1975,unknown, ,"$684,320"
3550 sqft,5,4,2020,unknown,Unknown,1009280
543 sqft,2,1,1800,unknown,no,
3712,3,2,2010, pune ,Yes,883595
1991,4,4,1800,Pune,Unknown,673702
1591,1,2,,Nagpur,No,"$350,901"
3278,6,1,1951,Kolhapur,Yes,"$953,496"
2769,6,1,1979,Kolhapur,Unknown,"$840,302"
3253,5,5,3025,unknown,Unknown,1035396
681,,5,3025, pune ,No,445631
3639,5,1,1800,Mumbai,No,957545
2901,5,3,1973,Nashik,YES,899086
2832,2,3,2017,Nashik,YES,678009
2869 sqft,2,2,1994,???,Yes,628860
3156,6,3,3025,???,No,987260
946,,1,3025,Nagpur, ,504185
-1855,1,1,3025,Nagpur,Unknown,378201
1878,2,4,,Kolhapur,no,603664
3733,4,2,3025,???,no,"$912,502"
3335,2,4,,Nagpur,Yes,816281
3256,3,2,3025,Pune,Unknown,784227
2558,5,4,3025,Nashik, ,830625
"2,457",5,2,3025,unknown,no,759420
1663,1,2,1800,Kolhapur,no,408277
2882,4,5,,Pune, ,886883
1174,5,3,,Pune, ,582793
1668 sqft,4,1,1977,???,Unknown,483656
1949,4,1,,Mumbai,YES,569098
2021 sqft,1,2,1800, pune ,No,431207
-1383,3,3,3025,Kolhapur,No,526758
2035,3,3,3025,???,Unknown,621023
1787,6,5,1800,Pune,Unknown,762184
1939,2,4,1800,Mumbai,Yes,574314
508,4,4,1987,???,No,369997
1668,5,4,3025,Pune,No,704733
1552,,3,1983, pune ,No,704195
3718,3,4,3025,Nagpur,YES,950130
573,2,2,1974,Kolhapur,Yes,250794
-2414,2,1,1800,Nagpur,No,"$575,886"
"1,925",5,4,1800,Pune,no,731987
1707,6,1,,unknown,YES,652961
700,1,1,,Nashik,no,233885
642,2,1,1800,Nashik,no,282170
522,1,1,1800,unknown,Unknown,185774
3859,6,4,3025,Nagpur,Yes,1069002
2912 sqft,,2,3025,Kolhapur,Yes,615401
-1799,4,2,1800,Nagpur,No,631898
1804,5,5,1800, pune ,YES,680298
1106,5,3,1974,Pune,Unknown,"$534,565"
"3,170",2,4,1800,Nagpur,YES,774726
2452,2,1,2017, pune ,Yes,"$578,416"
1794,6,5,, pune ,Yes,774558
3241 sqft,1,5,1800,Kolhapur,YES,778855
"2,274",5,3,1959, pune ,YES,702578
3695,3,5,1800,Nagpur,Yes,955459
"2,710",5,1,1800,Nagpur,Yes,769998
1289,1,3,2022,Nagpur,no,377272
2309,1,4,1800,Pune,Yes,626856
1431,3,3,, pune ,Unknown,526455
"2,478",6,2,3025,???,Yes,851733
1103,5,5,1973,???,no,
2118,3,4,3025,unknown, ,622780
1751,5,2,3025,Nashik,Unknown,
"2,896",5,3,1800,Nashik,no,909702
3737,4,4,,Nashik,YES,1032522
3679,3,4,1968,Pune,YES,913316
1675,,4,1955,Nashik,no,520051
1805 sqft,6,4,1800,Mumbai,Yes,750060
1224 sqft,6,4,1966,Kolhapur,Unknown,"$667,796"
2498,5,4,,unknown,Unknown,"$775,938"
3169,1,1,3025,unknown,No,622129
2308,1,5,1800,unknown,no,608663
2910,4,5,2010,???,no,
3297 sqft,2,1,1800,Nashik,Unknown,736035
744,2,4,, pune , ,389500
653,,4,2008,Nashik,Unknown,419668
3974,3,3,,Mumbai,No,
1650,4,4,1800,Mumbai, ,607212
3802,2,2,3025,Nashik,Yes,840361
2627 sqft,4,3,,Nagpur,no,785046
2518,4,3,1952,Kolhapur,Unknown,
2746,,3,3025,Mumbai,Yes,805877
2088 sqft,1,4,1800,???,no,524219
"1,014",4,2,1800,Mumbai,Yes,392897
2419,5,1,,Pune,Yes,747079
-2626,1,4,1980,unknown,Unknown,641435
1044 sqft,2,3,1800,Pune,no,423075
1807,,5,1996, pune ,YES,590879
3823,3,2,1800,Pune,Unknown,852130
2275,2,2,1800,???,YES,611473
3224,2,3,1800,???, ,770585
1864,1,3,3025,Kolhapur,no,463908
1459,4,5,1800,Nashik, ,592784
767,3,3,1800,unknown, ,367795
1914,3,3,1958,Nagpur,no,579330
-1767,5,2,,???, ,653147
3586,2,2,3025,Mumbai, ,819974
866,2,5,,Nashik,Yes,389348
2232,3,5,3025,Kolhapur,YES,698447
2148,5,1,3025,Pune,no,"$671,352"
1399,2,3,3025,Nagpur,YES,443697
"1,684",4,1,1961,unknown,Yes,530649
892,1,1,1800,Kolhapur,No,273072
1122,2,3,1800,???,YES,421365
2920,6,3,1800,Pune,No,952763
3378,3,1,1984, pune ,Unknown,758691
1302 sqft,1,4,1984,Mumbai, ,453588
1367,3,1,1800,Kolhapur,no,420761
3610,5,1,3025,unknown,YES,977709
3351,2,3,3025,Mumbai,YES,754956
3740,5,1,,Nagpur,YES,921944
3354,2,5,,unknown,Unknown,833756
2974,5,4,1976,Nashik,Yes,914040
3497,5,4,1800,unknown, ,981418
2418,2,4,,unknown,Unknown,693889
1870,1,4,1995,Nashik,no,"$554,293"
